Country Name,"Country Code","Series Name","Series Code","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]","2021 [YR2021]"
France,"FRA","GDP (current US$)","NY.GDP.MKTP.CD","2660591246211.77","2930303780828.12","2700887366932.03","2645187882116.67","2865157541994.17","2683671716967.19","2811876903329.03","2855964488590.19","2439188643162.5","2472964344587.17","2595151045197.65","2790956878746.66","2728870246705.88","2639008701648.26","2957879759263.52"
France,"FRA","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","1.79523636713417","-0.302483826449375","-3.37039728344885","1.44824526229692","1.70061040175906","-0.171161336111382","0.0581495050462166","0.484564448270447","0.754024352327519","0.829056664516742","1.99499844733441","1.50053912327405","1.49589898756051","-8.0344742951426","6.53511998290108"
France,"FRA","Population, total","SP.POP.TOTL","64021737","64379696","64710879","65030575","65345233","65662240","66002289","66312067","66548272","66724104","66918020","67158348","67388001","67571107","67749632"
France,"FRA","Population growth (annual %)","SP.POP.GROW","0.616493932446319","0.557563757631959","0.513102876178491","0.492821125690305","0.482694781758347","0.483953489768883","0.516539661307546","0.46824634207038","0.355569240058298","0.263868788565368","0.29020211635109","0.358494581816163","0.341374143157509","0.271350507669993","0.263854757064606"
France,"FRA","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","1.48799805953858","2.81286194914787","0.0876204781574529","1.53112270420924","2.11159795174997","1.95419531613507","0.863715497861826","0.507758822937957","0.0375143805125363","0.183334861123848","1.03228275064674","1.85081508315494","1.10825492288292","0.476498852725083","1.64233141038392"
France,"FRA","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","7.66","7.06","8.74","8.87","8.81","9.4","9.92","10.29","10.35","10.05","9.41","9.02","8.41","8.01","7.86"
France,"FRA","Trade (% of GDP)","NE.TRD.GNFS.ZS","56.420756583014","57.3970828857949","50.462450850073","54.8677910818934","58.7905764224005","59.7020591687875","59.764055074913","60.4787965196196","61.7516939345861","61.1001423821095","62.9618472934066","64.437952596913","64.1414731902028","56.8638228861759","60.8396677956071"
Finland,"FIN","GDP (current US$)","NY.GDP.MKTP.CD","256378067752.158","285716311136.719","253497520828.515","249424310816.667","275604356167.316","258290060227.734","271362405890.589","274862826772.156","234534382384.766","240771351298.833","255647979916.471","275708001767.843","268514916972.549","271891788362.647","297301883523.251"
Finland,"FIN","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","4.85231327619931","0.315886376754079","-8.51302848718304","2.71496673450685","2.07339631453335","-1.86559117436354","-1.35721561109078","-0.776108383146138","0.213029419665261","2.5163798952421","2.95053137282473","1.00565417029748","1.11326909206437","-2.34551224067012","2.75999867445375"
Finland,"FIN","Population, total","SP.POP.TOTL","5288720","5313399","5338871","5363352","5388272","5413971","5438972","5461512","5479531","5495303","5508214","5515525","5521606","5529543","5541017"
Finland,"FIN","Population growth (annual %)","SP.POP.GROW","0.425429832100631","0.465549284507694","0.478246393482911","0.457494535465831","0.463558707499131","0.475809486683209","0.460723772785295","0.413560207519414","0.329383885818507","0.287421401687637","0.234670531705453","0.132641040791912","0.110191690491055","0.143641197212847","0.207288594407348"
Finland,"FIN","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","2.51066565240339","4.06595355358378","-9.17360403259616E-07","1.1841352315465","3.41680754255211","2.80833622561575","1.47828615688804","1.04119621178439","-0.207928839905218","0.356684500891696","0.754015047084413","1.08382098409299","1.02409392963429","0.290554555653313","2.19457432339993"
Finland,"FIN","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","6.85","6.37","8.25","8.39","7.78","7.69","8.19","8.66","9.38","8.82","8.64","7.36","6.69","7.76","7.61"
Finland,"FIN","Trade (% of GDP)","NE.TRD.GNFS.ZS","82.8574024974341","86.184335829923","70.1233032732315","75.4644073922495","78.5795816119355","79.170500952561","77.0938865804298","74.1127227557674","71.3825484305887","70.8985003539937","75.053137193384","78.1921683186129","79.605433214652","71.6341165251656","78.604590101326"
Kuwait,"KWT","GDP (current US$)","NY.GDP.MKTP.CD","114639690358.902","147395089285.714","105963168867.269","115419399860.433","154068115942.029","174070382279.385","174161142454.161","162631412508.784","114567298105.683","109419728566.7","120707435542.367","138182400493.585","136196760180.976","105960225688.145",".."
Kuwait,"KWT","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","-0.0699930923370005","-3.09322470540177","-11.8832180694053","-7.27291970839997","2.63784703017753","-1.25296289574455","-5.83680440639837","-2.57342201284693","-3.19417441775387","-0.617015960146404","-6.4866737410414","-2.12827593223091","-3.32674570670625","-7.16935688822406",".."
Kuwait,"KWT","Population, total","SP.POP.TOTL","2506769","2650930","2795550","2943356","3143825","3394663","3646518","3761584","3908743","4048085","4124904","4317185","4441100","4360444","4250114"
Kuwait,"KWT","Population growth (annual %)","SP.POP.GROW","5.88896046397853","5.59158488996994","5.31183453845195","5.15215597247121","6.588978450283","7.67642810205362","7.15682472094729","3.10674056152789","3.83756936489801","3.50280908539676","1.87988170001332","4.55608227002645","2.82985240186539","-1.83282064689651","-2.5628080932518"
