Country Code,Series Name,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
AZE,GDP growth (annual %),25.0,10.76,9.3,5.05,0.1,2.17,5.81,2.75,1.09,-3.1,0.2,1.5,2.5,-4.3,5.6
AZE,GDP per capita (current US$),3851.44,5574.6,4950.29,5843.53,7189.69,7496.29,7875.76,7891.31,5500.31,3880.74,4147.09,4739.84,4805.75,4229.91,5388.0
AZE,"Population, total",8581300.0,8763400.0,8947243.0,9054332.0,9173082.0,9295784.0,9416801.0,9535079.0,9649341.0,9757812.0,9854033.0,9939771.0,10024283.0,10093121.0,10137750.0
AZE,Population growth (annual %),1.13,2.1,2.08,1.19,1.3,1.33,1.29,1.25,1.19,1.12,0.98,0.87,0.85,0.68,0.44
AZE,"Inflation, consumer prices (annual %)",16.7,20.85,1.46,5.73,7.86,1.07,2.42,1.37,4.03,12.44,12.94,2.27,2.61,2.76,6.65
AZE,"Unemployment, total (% of total labor force) (modeled ILO estimate)",6.33,5.86,5.74,5.63,5.42,5.19,4.97,4.91,4.96,5.0,4.96,4.94,4.85,7.16,5.95
AZE,Trade (% of GDP),96.64,89.24,74.74,74.99,80.51,78.26,74.68,69.48,72.6,90.08,90.4,91.67,85.82,72.02,76.57
