Country Code,Series Name,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
IRL,GDP growth (annual %),5.31,-4.48,-5.1,1.68,0.83,-0.01,1.13,8.65,24.37,2.01,9.01,8.53,5.44,6.18,13.59
IRL,GDP per capita (current US$),61396.42,61353.11,52133.09,48663.6,52183.13,49054.7,51546.35,55643.06,62053.98,62895.91,69970.95,79250.39,80927.07,85420.19,100172.08
IRL,"Population, total",4398942.0,4489544.0,4535375.0,4560155.0,4580084.0,4599533.0,4623816.0,4657740.0,4701957.0,4755335.0,4807388.0,4867316.0,4934340.0,4985382.0,5033165.0
IRL,Population growth (annual %),2.89,2.04,1.02,0.54,0.44,0.42,0.53,0.73,0.94,1.13,1.09,1.24,1.37,1.03,0.95
IRL,"Inflation, consumer prices (annual %)",4.9,4.06,-4.48,-0.92,2.56,1.7,0.51,0.18,-0.29,0.01,0.34,0.49,0.94,-0.33,2.36
IRL,"Unemployment, total (% of total labor force) (modeled ILO estimate)",4.98,6.77,12.61,14.53,15.35,15.45,13.73,11.86,9.91,8.37,6.71,5.74,4.95,5.62,6.19
IRL,Trade (% of GDP),153.4,160.04,173.59,189.93,187.84,191.45,189.24,202.24,215.43,227.74,220.0,217.08,252.25,247.77,229.45
