Country Code,Series Name,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
BGR,GDP growth (annual %),6.65,6.13,-3.35,1.54,2.1,0.75,-0.56,0.97,3.43,3.04,2.76,2.68,4.04,-3.96,7.63
BGR,GDP per capita (current US$),5888.78,7271.4,6988.23,6853.0,7849.17,7432.48,7681.93,7901.79,7074.68,7569.48,8366.29,9446.72,9879.33,10129.81,12221.5
BGR,"Population, total",7545338.0,7492561.0,7444443.0,7395599.0,7348328.0,7305888.0,7265115.0,7223938.0,7177991.0,7127822.0,7075947.0,7025037.0,6975761.0,6934015.0,6877743.0
BGR,Population growth (annual %),-0.74,-0.7,-0.64,-0.66,-0.64,-0.58,-0.56,-0.57,-0.64,-0.7,-0.73,-0.72,-0.7,-0.6,-0.81
BGR,"Inflation, consumer prices (annual %)",8.4,12.35,2.75,2.44,4.22,2.95,0.89,-1.42,-0.1,-0.8,2.06,2.81,3.1,1.67,3.3
BGR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",6.88,5.61,6.82,10.28,11.26,12.27,12.94,11.42,9.14,7.57,6.16,5.21,4.23,5.12,5.27
BGR,Trade (% of GDP),123.53,124.69,92.69,103.41,117.46,123.99,129.73,130.29,126.7,122.83,129.68,128.85,124.64,110.28,120.97
