,Country Code,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
GDP growth,ZWE,-3.65332683535506,-17.6689463301054,12.0195599748423,21.45,14.62,15.74,3.2,1.48,2.02,0.9,4.08,5.01,-6.33,-7.82,8.47
GDP per capita,ZWE,425.036841692684,351.839100544391,762.297957461508,937.84,1082.62,1290.19,1408.37,1407.03,1410.33,1421.79,1192.11,2269.18,1421.87,1372.7,1773.92
Population,ZWE,12450568,12550347,12679810,12839771.0,13025785.0,13265331.0,13555422.0,13855753.0,14154937.0,14452704.0,14751101.0,15052184.0,15354608.0,15669666.0,15993524.0
Population growth,ZWE,0.969118750298355,0.798207023794335,1.02626500717403,1.25,1.44,1.82,2.16,2.19,2.14,2.08,2.04,2.02,1.99,2.03,2.05
Inflation,ZWE,..,..,..,3.02,3.47,3.73,1.63,-0.2,-2.43,-1.54,0.89,10.62,255.3,557.2,98.55
Unemployment,ZWE,4.848,5.075,5.077,5.19,5.37,5.14,4.99,4.77,5.28,5.8,6.28,6.78,7.37,7.9,8.07
Trade (% of GDP),ZWE,84.1729044270467,109.521637189894,61.7784380123278,83.12,89.47,74.16,58.66,54.67,56.75,51.22,50.03,54.55,52.69,54.65,56.31
