,Country Code,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
GDP growth,TUN,6.71,4.24,3.04,2.97,-2.05,4.22,2.43,3.09,0.97,1.12,2.24,2.59,1.5,-8.62,4.32
GDP per capita,TUN,3677.94,4200.32,4029.39,4241.01,4361.9,4233.89,4308.23,4398.57,3960.98,3796.17,3569.76,3577.12,3477.88,3497.68,3807.14
Population,TUN,10580395.0,10680380.0,10784504.0,10895063.0,11032528.0,11174383.0,11300284.0,11428948.0,11557779.0,11685667.0,11811443.0,11933041.0,12049314.0,12161723.0,12262946.0
Population growth,TUN,0.92,0.94,0.97,1.02,1.25,1.28,1.12,1.13,1.12,1.1,1.07,1.02,0.97,0.93,0.83
Inflation,TUN,2.97,4.35,3.66,3.34,3.24,4.61,5.32,4.63,4.44,3.63,5.31,7.31,6.72,5.63,5.71
Unemployment,TUN,12.36,12.44,13.29,13.05,18.33,17.63,15.93,14.26,15.16,15.56,15.33,15.46,15.13,16.37,16.26
Trade (% of GDP),TUN,104.06,114.34,93.02,100.15,100.11,101.55,98.95,95.53,87.25,87.09,95.81,103.87,102.33,84.24,94.35
