,Country Code,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
GDP growth,MEX,2.29,1.14,-5.29,5.12,3.66,3.64,1.35,2.85,3.29,2.63,2.11,2.19,-0.2,-7.99,4.72
GDP per capita,MEX,9719.92,10119.84,8104.91,9399.97,10341.52,10376.06,10865.68,11076.09,9753.38,8875.06,9434.39,9857.03,10145.17,8655.0,10045.68
Population,MEX,108302973.0,109684489.0,111049428.0,112532401.0,114150481.0,115755909.0,117290686.0,118755887.0,120149897.0,121519221.0,122839258.0,124013861.0,125085311.0,125998302.0,126705138.0
Population growth,MEX,1.32,1.27,1.24,1.33,1.43,1.4,1.32,1.24,1.17,1.13,1.08,0.95,0.86,0.73,0.56
Inflation,MEX,3.97,5.12,5.3,4.16,3.41,4.11,3.81,4.02,2.72,2.82,6.04,4.9,3.64,3.4,5.69
Unemployment,MEX,3.63,3.87,5.36,5.3,5.17,4.89,4.91,4.81,4.31,3.86,3.42,3.27,3.48,4.45,4.09
Trade (% of GDP),MEX,56.8,57.78,55.97,60.76,63.47,65.77,63.76,64.93,71.09,76.06,77.12,80.56,77.9,76.9,83.62
