,Country Code,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
GDP growth,KAZ,8.9,3.3,1.2,7.3,7.4,4.8,6.0,4.2,1.2,1.1,4.1,4.1,4.5,-2.5,4.3
GDP per capita,KAZ,6771.41,8458.02,7165.22,9070.49,11634.0,12386.7,13890.63,12807.26,10510.77,7714.84,9247.58,9812.63,9812.6,9121.64,10373.79
Population,KAZ,15484192.0,15776938.0,16092822.0,16321872.0,16557202.0,16792090.0,17035551.0,17288285.0,17542806.0,17794055.0,18037776.0,18276452.0,18513673.0,18755666.0,19000988.0
Population growth,KAZ,1.14,1.87,1.98,1.41,1.43,1.41,1.44,1.47,1.46,1.42,1.36,1.31,1.29,1.3,1.3
Inflation,KAZ,10.85,17.14,7.32,7.4,8.42,5.1,5.85,6.71,6.67,14.55,7.44,6.02,5.25,6.77,8.04
Unemployment,KAZ,7.26,6.63,6.55,5.77,5.39,5.29,5.2,5.06,4.93,4.96,4.9,4.85,4.8,4.89,5.16
Trade (% of GDP),KAZ,92.16,94.29,75.77,74.14,73.12,73.72,65.41,64.97,53.05,60.31,56.83,63.53,64.86,57.03,57.54
