,Country Code,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
GDP growth,KWT,114639690358.9,147395089285.71,105963168867.27,115419399860.43,154068115942.03,174070382279.38,174161142454.16,162631412508.78,114567298105.68,109419728566.7,120707435542.37,138182400493.58,136196760180.98,105960225688.14,0.0
GDP per capita,KWT,-0.07,-3.09,-11.88,-7.27,2.64,-1.25,-5.84,-2.57,-3.19,-0.62,-6.49,-2.13,-3.33,-7.17,0.0
Population,KWT,2506769.0,2650930.0,2795550.0,2943356.0,3143825.0,3394663.0,3646518.0,3761584.0,3908743.0,4048085.0,4124904.0,4317185.0,4441100.0,4360444.0,4250114.0
Population growth,KWT,5.89,5.59,5.31,5.15,6.59,7.68,7.16,3.11,3.84,3.5,1.88,4.56,2.83,-1.83,-2.56
Inflation,KWT,5.48,10.58,4.61,4.5,4.84,3.26,2.68,2.91,3.27,3.2,2.17,0.54,1.09,2.1,3.42
Unemployment,KWT,1.5,1.75,1.64,1.82,2.03,2.32,2.62,2.9,2.2,2.16,2.2,2.16,2.16,3.33,2.82
Trade (% of GDP),KWT,91.73,92.68,88.81,97.03,99.09,101.01,97.61,100.04,98.7,96.16,97.84,103.12,98.18,0.0,0.0
