,Country Code,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
GDP growth,BFA,4.11,5.8,2.96,8.45,6.62,6.45,5.79,4.33,3.92,5.96,6.2,6.6,5.69,1.93032488957256,6.90634167337785
GDP per capita,BFA,516.75,621.89,603.88,627.27,727.61,733.97,762.3,767.37,632.13,665.79,711.18,779.2,772.17,833.244342636324,893.077155776863
Population,BFA,14757074.0,15197915.0,15650022.0,16116845.0,16602651.0,17113732.0,17636408.0,18169842.0,18718019.0,19275498.0,19835858.0,20392723.0,20951639.0,21522626,22100683
Population growth,BFA,3.03,2.94,2.93,2.94,2.97,3.03,3.01,2.98,2.97,2.93,2.87,2.77,2.7,2.68878766730686,2.65037591522147
Inflation,BFA,-0.23,10.66,2.61,-0.76,2.76,3.82,0.53,-0.26,0.72,0.44,1.48,1.96,-3.23,1.88443993781985,3.65353287214207
Unemployment,BFA,3.3,3.41,3.57,3.63,3.78,3.91,4.05,4.21,4.34,4.44,4.57,4.69,4.69,5.055,5.232
Trade (% of GDP),BFA,33.78,35.39,40.3,49.07,57.5,61.24,64.04,58.82,59.09,57.89,59.27,60.6,58.66,..,..
