,Country Code,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
GDP growth,RUS,1299705764823.62,1660846387624.78,1222644282201.86,1524917468442.01,2045925608274.37,2208295773643.15,2292473246621.08,2059241965490.83,1363481063446.77,1276786979221.81,1574199387070.9,1657329646183.62,1693113904262.89,1489362488439.76,1778782625793.74
GDP per capita,RUS,8.69,5.25,-7.83,4.45,4.22,3.85,1.54,-1.05,-2.18,0.01,1.71,2.82,2.24,-2.46,5.18
Population,RUS,142805114.0,142742366.0,142785349.0,142849468.0,142960908.0,143201721.0,143506995.0,143819667.0,144096870.0,144342397.0,144496739.0,144477859.0,144406261.0,144073139.0,143449286.0
Population growth,RUS,-0.17,-0.04,0.03,0.04,0.08,0.17,0.21,0.22,0.19,0.17,0.11,-0.01,-0.05,-0.23,-0.43
Inflation,RUS,9.01,14.11,11.65,6.85,8.44,5.07,6.75,7.82,15.53,7.04,3.68,2.88,4.47,3.38,6.69
Unemployment,RUS,6.0,6.21,8.3,7.37,6.54,5.44,5.46,5.16,5.57,5.56,5.21,4.85,4.5,5.59,4.72
Trade (% of GDP),RUS,51.71,53.38,48.44,50.36,48.04,47.15,46.29,47.8,49.36,46.52,46.88,51.58,49.23,46.03,52.17
