,Country Code,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
GDP growth,IDN,6.35,6.01,4.63,6.22,6.17,6.03,5.56,5.01,4.88,5.03,5.07,5.17,5.02,-2.07,3.69
GDP per capita,IDN,1840.33,2144.39,2239.1,3094.44,3613.8,3668.21,3602.89,3476.62,3322.58,3558.82,3839.79,3902.66,4151.23,3894.27,4332.71
Population,IDN,234858289.0,237936543.0,240981299.0,244016173.0,247099697.0,250222695.0,253275918.0,256229761.0,259091970.0,261850182.0,264498852.0,267066843.0,269582878.0,271857970.0,273753191.0
Population growth,IDN,1.31,1.3,1.27,1.25,1.26,1.26,1.21,1.16,1.11,1.06,1.01,0.97,0.94,0.84,0.69
Inflation,IDN,6.41,10.23,4.39,5.13,5.36,4.28,6.41,6.39,6.36,3.53,3.81,3.2,3.03,1.92,1.56
Unemployment,IDN,8.06,7.21,6.11,5.61,5.15,4.47,4.34,4.05,4.51,4.3,3.78,4.39,3.59,4.25,3.83
Trade (% of GDP),IDN,54.83,58.56,45.51,46.7,50.18,49.58,48.64,48.08,41.94,37.42,39.36,43.07,37.63,32.98,40.42
