,Country Code,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
GDP growth,ROU,7.23,9.31,-5.52,-3.9,4.52,1.92,0.27,4.12,3.16,2.86,8.2,6.03,3.85,-3.68,5.1
GDP per capita,ROU,8360.17,10435.04,8548.12,8397.81,9560.18,8930.73,9497.25,10031.27,8976.88,9404.34,10727.95,12494.48,12958.08,13047.43,14858.23
Population,ROU,20882982.0,20537875.0,20367487.0,20246871.0,20147528.0,20058035.0,19983693.0,19908979.0,19815616.0,19702267.0,19588715.0,19473970.0,19371648.0,19265250.0,19119880.0
Population growth,ROU,-1.48,-1.67,-0.83,-0.59,-0.49,-0.45,-0.37,-0.37,-0.47,-0.57,-0.58,-0.59,-0.53,-0.55,-0.76
Inflation,ROU,4.84,7.85,5.59,6.09,5.79,3.33,3.98,1.07,-0.59,-1.54,1.34,4.63,3.83,2.63,5.05
Unemployment,ROU,6.41,5.79,6.86,6.96,7.18,6.79,7.1,6.8,6.81,5.9,4.93,4.19,3.91,5.03,5.59
Trade (% of GDP),ROU,63.51,65.17,58.47,69.83,76.14,76.54,81.4,83.38,83.52,85.89,87.16,86.47,84.5,78.06,87.36
