,Country Code,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
GDP growth,ISL,8.45,2.21,-7.66,-2.83,1.85,1.06,4.55,1.69,4.44,6.3,4.19,4.89,2.42,-6.84,4.4
GDP per capita,ISL,69495.73,56943.37,41301.27,43237.07,47714.59,45995.55,49804.98,54576.74,52951.68,61987.93,72010.15,74461.48,68853.72,59200.18,68727.64
Population,ISL,311566.0,317414.0,318499.0,318041.0,319014.0,320716.0,323764.0,327386.0,330815.0,335439.0,343400.0,352721.0,360563.0,366463.0,372520.0
Population growth,ISL,2.53,1.86,0.34,-0.14,0.31,0.53,0.95,1.11,1.04,1.39,2.35,2.68,2.2,1.62,1.64
Inflation,ISL,5.05,12.69,12.0,5.4,4.0,5.19,3.87,2.04,1.63,1.7,1.76,2.68,3.01,2.85,4.44
Unemployment,ISL,2.25,2.95,7.22,7.56,7.03,6.0,5.38,4.9,3.98,2.98,2.74,2.7,3.51,5.48,6.02
Trade (% of GDP),ISL,74.67,82.69,89.39,93.65,101.41,104.09,98.79,96.67,95.82,88.33,86.98,89.96,84.21,69.46,78.18
