,Country Code,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
GDP growth,SWE,491252589217.02,517706149201.2,436537014293.55,495812558843.31,574094112972.73,552483727282.8,586841821796.89,581964017237.1,505103781349.76,515654671469.55,541018749769.1,555455371487.09,533879529188.45,547054174235.88,635663801201.76
GDP per capita,SWE,2.68,-1.22,-5.15,5.05,2.42,-1.32,0.33,1.64,3.39,0.8,1.2,0.77,0.96,-2.87,4.45
Population,SWE,9148092.0,9219637.0,9298515.0,9378126.0,9449213.0,9519374.0,9600379.0,9696110.0,9799186.0,9923085.0,10057698.0,10175214.0,10278887.0,10353442.0,10415811.0
Population growth,SWE,0.74,0.78,0.85,0.85,0.76,0.74,0.85,0.99,1.06,1.26,1.35,1.16,1.01,0.72,0.6
Inflation,SWE,2.21,3.44,-0.49,1.16,2.96,0.89,-0.04,-0.18,-0.05,0.98,1.79,1.95,1.78,0.5,2.16
Unemployment,SWE,6.16,6.23,8.35,8.61,7.8,7.98,8.05,7.95,7.43,6.99,6.72,6.36,6.83,8.29,8.72
Trade (% of GDP),SWE,89.16,92.56,81.51,84.25,85.79,85.28,80.82,82.93,83.72,82.32,84.93,89.13,91.43,83.21,86.69
