,Country Code,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
GDP growth,KGZ,8.54,8.4,2.89,-0.47,5.96,-0.09,10.92,4.02,3.88,4.34,4.74,3.76,4.6,-8.4,3.61
GDP per capita,KGZ,721.77,966.39,871.22,880.04,1123.88,1177.97,1282.44,1279.77,1121.08,1120.67,1242.77,1308.14,1374.03,1182.52,1276.7
Population,KGZ,5268400.0,5318700.0,5383300.0,5447900.0,5514600.0,5607200.0,5719600.0,5835500.0,5956900.0,6079500.0,6198200.0,6322800.0,6456200.0,6579900.0,6691800.0
Population growth,KGZ,0.95,0.95,1.21,1.19,1.22,1.67,1.98,2.01,2.06,2.04,1.93,1.99,2.09,1.9,1.69
Inflation,KGZ,10.23,24.52,6.84,7.97,16.64,2.77,6.61,7.53,6.5,0.39,3.18,1.54,1.13,6.33,11.91
Unemployment,KGZ,2.68,2.77,2.79,2.83,3.02,3.03,3.3,3.28,3.38,3.48,3.59,3.67,4.25,4.63,4.77
Trade (% of GDP),KGZ,137.06,146.11,133.38,133.23,136.18,139.68,134.03,125.13,110.96,105.82,100.62,98.88,99.37,83.47,108.39
