,Country Code,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
GDP growth,GEO,10172882370.55,12795076469.01,10766836276.56,12243505582.67,15107441446.78,16488403076.36,17189551520.98,17627003454.72,14953950557.44,15141758566.78,16242916915.72,17596922469.92,17470436258.51,15842922532.72,18629365597.0
GDP per capita,GEO,13.17,2.73,-2.79,7.03,8.26,7.16,3.93,4.38,2.86,2.84,4.83,4.88,5.16,-6.82,10.89
Population,GEO,3860158.0,3848449.0,3814419.0,3786695.0,3756441.0,3728874.0,3717668.0,3719414.0,3725276.0,3727505.0,3728004.0,3726549.0,3720161.0,3722716.0,3708610.0
Population growth,GEO,-0.52,-0.3,-0.89,-0.73,-0.8,-0.74,-0.3,0.05,0.16,0.06,0.01,-0.04,-0.17,0.07,-0.38
Inflation,GEO,9.24,10.0,1.73,7.11,8.54,-0.94,-0.51,3.07,4.0,2.13,6.04,2.62,4.85,5.2,9.57
Unemployment,GEO,13.28,17.87,20.71,20.2,19.63,19.65,19.42,17.44,16.51,16.6,13.94,12.67,11.57,11.73,12.21
Trade (% of GDP),GEO,88.39,86.3,78.19,82.9,87.55,91.94,95.6,96.77,98.77,96.83,104.04,111.76,118.6,93.88,102.82
