,Country Code,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
GDP growth,JPN,1.48,-1.22,-5.69,4.1,0.02,1.37,2.01,0.3,1.56,0.75,1.68,0.58,-0.24,-4.51,1.66
GDP per capita,JPN,35779.02,39876.3,41309.0,44968.16,48760.08,49145.28,40898.65,38475.4,34960.64,39375.47,38834.05,39727.12,40458.0,39918.17,39312.66
Population,JPN,128001000.0,128063000.0,128047000.0,128070000.0,127833000.0,127629000.0,127445000.0,127276000.0,127141000.0,127076000.0,126972000.0,126811000.0,126633000.0,126261000.0,125681593.0
Population growth,JPN,0.11,0.05,-0.01,0.02,-0.19,-0.16,-0.14,-0.13,-0.11,-0.05,-0.08,-0.13,-0.14,-0.29,-0.46
Inflation,JPN,0.06,1.38,-1.35,-0.73,-0.27,-0.04,0.34,2.76,0.8,-0.13,0.48,0.99,0.47,-0.02,-0.23
Unemployment,JPN,3.89,4.0,5.07,5.1,4.55,4.36,4.04,3.59,3.39,3.13,2.82,2.47,2.35,2.8,2.8
Trade (% of GDP),JPN,32.82,34.13,24.39,28.5,30.19,30.47,33.98,37.43,35.43,31.31,34.42,36.63,35.18,31.36,37.38
